City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
220,Salalah,OM,71.6,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
224,Oranjestad,AW,80.6,scattered clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
225,Ternate,ID,82.71,scattered clouds,0.8,127.4,Grand Dafam Bela Ternate
228,Malakal,SS,84.88,clear sky,9.5334,31.6605,Nile Palace Hotel
232,Abu Dhabi,AE,73.4,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
237,Quepos,CR,75.2,scattered clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
238,Belmonte,BR,77.0,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
239,Monsenhor Gil,BR,78.8,clear sky,-5.5642,-42.6078,VB Hotel
242,Nabire,ID,81.93,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
250,Vung Tau,VN,78.75,overcast clouds,10.345999999999998,107.0843,Green hotel
255,Labuhan,ID,78.82,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
258,Fayaoue,NC,79.32,few clouds,-20.65,166.5333,Chez Dydyce Guesthouse
262,Bengkulu,ID,75.11,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
264,Celestun,MX,78.75,clear sky,20.8667,-90.4,Posada Lilia
266,Cape Coast,GH,81.09,overcast clouds,5.1053,-1.2466,Samrit Hotel
267,Hope,US,72.0,broken clouds,33.6671,-93.5916,Best Western Hope
276,Coffs Harbour,AU,77.0,moderate rain,-30.3,153.1333,Aquajet Motel
277,Bouafle,CI,78.8,broken clouds,6.9904,-5.7442,Hotel Zaouli
283,Hobbs,US,78.8,clear sky,32.7026,-103.13600000000001,Best Western Executive Inn
287,Tual,ID,83.68,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
290,Mana,GF,77.16,overcast clouds,5.6592,-53.7767,LE SAMANA
294,Caravelas,BR,77.52,moderate rain,-17.7125,-39.2481,Pousada dos Navegantes
295,Port-Gentil,GA,78.8,few clouds,-0.7193,8.7815,Fengshui Residence
304,Nelson Bay,AU,79.0,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
307,Progreso,MX,80.6,few clouds,21.2833,-89.6667,Playa Linda Hotel
308,Wamba,NG,78.87,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
309,Paoua,CF,73.44,overcast clouds,7.2427,16.4406,Quartier Paoua Elien
310,Yulara,AU,80.6,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
311,Bambous Virieux,MU,78.8,scattered clouds,-20.3428,57.7575,Casa Tia Villa
312,Namibe,AO,74.91,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
313,Caramay,PH,79.39,overcast clouds,10.1815,119.236,Peace and Love Beach Club
314,Kirakira,SB,83.57,overcast clouds,-10.4544,161.9205,SanBiz Lodge
319,Muriwai Beach,NZ,72.0,broken clouds,-36.8167,174.45,Coast Retreat Muriwai - Golf and Surf Holiday
320,Ambilobe,MG,72.66,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
321,Poum,NC,79.75,scattered clouds,-20.2333,164.0167,Gîte kajeon
322,Diamantino,BR,72.34,moderate rain,-14.4086,-56.4461,Hotel Delta
