City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Westport,US,41.1415,-73.3579,44.01,75,1,6.91,clear sky
80,Ancud,CL,-41.8697,-73.8203,50.0,76,75,10.36,light rain
81,Bethel,US,41.3712,-73.414,46.4,57,1,4.61,clear sky
82,Touros,BR,-5.1989,-35.4608,78.8,83,20,5.75,few clouds
83,Yellowknife,CA,62.456,-114.3525,1.4,55,20,3.44,few clouds
84,Bambanglipuro,ID,-7.95,110.2833,78.21,83,92,3.67,light rain
85,Alofi,NU,-19.0595,-169.9187,82.4,61,40,12.66,scattered clouds
86,Albany,US,42.6001,-73.9662,51.8,43,75,14.97,broken clouds
87,Barrow,US,71.2906,-156.7887,-5.8,59,1,18.41,snow
88,Mareeba,AU,-17.0,145.4333,84.2,65,40,10.36,scattered clouds
89,Camapua,BR,-19.5314,-54.0439,72.28,73,22,1.66,few clouds
90,Karlskrona,SE,56.1616,15.5866,33.8,80,90,11.5,overcast clouds
91,Novosokolniki,RU,56.3463,30.1578,9.41,94,96,8.12,light snow
92,Minnedosa,CA,50.2453,-99.8436,28.4,54,40,3.44,scattered clouds
93,Kyabe,TD,9.4515,18.9449,80.65,16,0,5.08,clear sky
94,Matiri,TZ,-10.75,34.9,63.12,97,100,2.21,light rain
95,Barra Patuca,HN,15.8,-84.2833,76.77,84,4,11.32,clear sky
96,New Norfolk,AU,-42.7826,147.0587,70.0,48,2,1.01,clear sky
97,Clyde River,CA,70.4692,-68.5914,-11.2,77,20,5.75,few clouds
98,Bairnsdale,AU,-37.8333,147.6167,71.01,65,58,4.0,broken clouds
99,Pevek,RU,69.7008,170.3133,-17.57,80,0,18.1,clear sky
100,Roebourne,AU,-20.7833,117.1333,90.41,48,0,10.02,clear sky
101,Grand Gaube,MU,-20.0064,57.6608,75.99,81,5,1.99,clear sky
102,Ketrzyn,PL,54.0768,21.3753,27.14,91,1,9.33,clear sky
103,Hasaki,JP,35.7333,140.8333,46.0,57,20,3.44,few clouds
104,Ribeira Grande,PT,38.5167,-28.7,58.64,87,100,12.84,overcast clouds
105,Smithers,CA,54.7804,-127.1743,37.4,32,1,1.81,clear sky
106,Hithadhoo,MV,-0.6,73.0833,77.99,83,100,3.4,overcast clouds
107,Vanimo,PG,-2.6741,141.3028,82.58,67,98,7.36,overcast clouds
108,Cidreira,BR,-30.1811,-50.2056,69.57,77,28,3.74,scattered clouds
109,Copiapo,CL,-27.3667,-70.3333,68.0,68,0,11.5,clear sky
110,Port Keats,AU,-14.25,129.55,81.36,80,100,7.85,overcast clouds
111,Pisco,PE,-13.7,-76.2167,77.0,69,75,16.11,broken clouds
112,Castro,BR,-24.7911,-50.0119,60.89,88,17,3.24,few clouds
113,Chokurdakh,RU,70.6333,147.9167,-2.13,91,100,10.6,overcast clouds
114,Hofn,IS,64.2539,-15.2082,39.56,71,75,9.62,broken clouds
115,Ponta Delgada,PT,37.7333,-25.6667,59.0,94,40,16.11,scattered clouds
116,Yebaishou,CN,41.3975,119.6408,44.44,62,100,2.8,overcast clouds
117,Beaupre,CA,47.0443,-70.8953,36.0,75,100,2.3,overcast clouds
118,Yerofey Pavlovich,RU,53.9667,121.9667,9.97,92,52,3.27,broken clouds
119,Port Elizabeth,ZA,-33.918,25.5701,66.2,88,40,12.66,light rain
120,Nome,US,64.5011,-165.4064,-11.2,64,1,16.11,clear sky
121,Carnarvon,AU,-24.8667,113.6333,78.8,78,11,8.05,few clouds
122,Arraial Do Cabo,BR,-22.9661,-42.0278,77.0,88,40,5.75,scattered clouds
123,Iqaluit,CA,63.7506,-68.5145,-14.8,64,20,6.91,few clouds
124,Longyearbyen,SJ,78.2186,15.6401,21.2,86,75,8.05,light snow
125,Souillac,MU,-20.5167,57.5167,78.8,78,40,11.5,scattered clouds
126,Charlestown,AU,-32.95,151.6667,82.99,74,5,11.14,clear sky
127,Matara,LK,5.9485,80.5353,75.9,80,100,12.64,overcast clouds
128,Palmer,US,42.1584,-72.3287,46.4,49,20,9.22,few clouds
129,Khatanga,RU,71.9667,102.5,-16.2,87,100,23.6,overcast clouds
